15masstree_25rps_1baseline_8channels_latency.out,15masstree_25rps_1blender_8channels_latency.out,15masstree_25rps_1bwaves_8channels_latency.out,15masstree_25rps_1cactuBSSN_8channels_latency.out,15masstree_25rps_1cam4_8channels_latency.out,15masstree_25rps_1deepsjeng_8channels_latency.out,15masstree_25rps_1exchange2_8channels_latency.out,15masstree_25rps_1fotonik3d_8channels_latency.out,15masstree_25rps_1gcc_8channels_latency.out,15masstree_25rps_1imagick_8channels_latency.out,15masstree_25rps_1lbm_8channels_latency.out,15masstree_25rps_1leela_8channels_latency.out,15masstree_25rps_1mcf_8channels_latency.out,15masstree_25rps_1nab_8channels_latency.out,15masstree_25rps_1namd_8channels_latency.out,15masstree_25rps_1omnetpp_8channels_latency.out,15masstree_25rps_1parest_8channels_latency.out,15masstree_25rps_1perlbench_8channels_latency.out,15masstree_25rps_1povray_8channels_latency.out,15masstree_25rps_1roms_8channels_latency.out,15masstree_25rps_1wrf_8channels_latency.out,15masstree_25rps_1x264_8channels_latency.out,15masstree_25rps_1xalancbmk_8channels_latency.out,15masstree_25rps_1xz_8channels_latency.out
14526744,12267843,14638457,17622882,14315065,17295388,14518122,14597798,12752230,12547013,17532893,14017471,12149538,14780314,12976931,14462641,14480026,0,14710106,14545372,14441858,12606466,14733555,16390459
14572330,12421558,14663241,17632872,14408242,17363506,14707445,14588399,12784551,12838077,17530588,14140759,12322934,14803822,13122061,14452718,14593796,0,14756839,14566587,14397942,13116404,14841871,16491445
14580065,12640735,14688694,17665667,14429319,17410850,14774428,14648521,12824437,12883093,17495286,14189242,12438843,14874734,13303356,14705016,14617344,0,14726954,14571369,14456005,13194484,14818115,16564250
14659060,12684708,14777655,17637289,14420096,17446911,14869530,14762319,12827097,12945927,17524488,14215397,12279649,14901693,13322778,14740465,14625851,0,14801647,14619746,14602903,13269898,14909040,16596529
14689426,12775809,14820782,17688742,14670324,17429239,14852701,14763192,12787255,13156926,17495561,14118408,12540998,14929750,13589136,14883637,14669530,0,14802999,14714644,14590740,13503376,14906386,16691759
14698764,13319999,14851667,17691166,14791888,17286698,14893901,14842536,13014954,13293630,17628699,14325446,12979852,14947556,13827462,14926575,14706820,0,15003398,14902054,14726621,13587448,14977918,16850440
14756000,13372430,14909810,17690536,14782058,17513699,14880255,14936866,13089187,13369740,17564124,14280195,13205912,15017510,13853152,14938087,14714447,0,15015928,14949445,14684811,14198243,14961612,16940363
14747024,13392824,14901289,17713997,14884917,17430217,14922295,14953391,13129430,13420556,17539868,14415583,13131846,15078249,13969467,15013416,14869996,0,15025887,15037794,14810037,14406294,15045735,16915038
14748665,13405757,14958205,17747804,15042829,17517297,14917011,14938560,13122900,13455353,17630188,14435592,13337664,15089048,14085911,14987515,14915851,0,15048467,15024441,14857045,14684550,15012962,17226587
14844307,13654287,15005682,17750879,15100796,17542078,15222986,15052346,13165802,13537982,17606492,14234686,13261667,15122160,14165042,15020316,15097109,0,15098849,15086896,14807964,14810487,15057179,17219056
14982472,13771111,15103246,17790898,15166408,17444204,15305732,15093730,13473281,13617240,17543574,14591442,13347531,15213249,14224603,15052201,15087991,0,15105352,15122578,14937687,15084771,15079626,17266133
15087451,13975437,15100084,17741550,16234205,17360740,15337519,15279219,13653971,13934265,17629204,14631236,13696878,15221718,14368003,15095666,15144845,0,15196740,15233304,15043842,15109831,15151088,18058488
15069927,14080097,15133347,17804714,16578065,17519651,15406213,15218437,13673280,14183783,17590774,14755302,14168882,15412792,14384641,15209915,15257255,0,15174910,15231454,15359919,15204539,15470657,18223885
14988788,12037974,14694320,21838288,14448770,22423556,15168075,14468720,12479693,12626606,23050927,14356274,12017901,14929446,13193825,14520043,14947288,0,15017985,14722663,14650851,12582084,15052245,16177266
15031683,12546529,14995056,23420859,14936777,22464985,15297702,14955914,13011959,12771999,23033391,14623894,12232764,15028671,13302343,14933003,15071499,0,15188698,15082382,14815716,12631734,15107892,16335905
15118044,12567455,15156776,23440487,15061888,22516099,15339328,15005662,13140198,13205095,23112839,14587083,12292766,15230462,13600279,15051606,15238747,0,15310662,15160402,14847621,12701924,15257246,16632895
15121865,12759718,15372795,23481092,15145815,22500226,15313258,15109698,13181888,13224967,23016043,14575090,12483033,15405628,13645645,15067491,15321028,0,15312240,15216803,15041923,13343471,15279062,16776521
15161901,12854802,15368266,23454026,15195003,22693123,15356508,15161815,13257330,13372087,23083159,14795635,12742306,15456239,13868749,15026439,15444406,0,15335500,15237634,15295725,13392243,15253033,16773455
15171567,12942262,15502880,23493262,15244626,22715980,15336290,15299094,13351400,13414580,23126265,14889847,12759288,15604867,13816132,15096424,15488738,0,15340676,15365526,15284763,13433064,15337533,16846788
15192942,13547473,15530779,23510220,15344196,22743134,15345902,15281085,13479507,13437630,23047563,14836933,12822267,15620882,13965224,15205100,15498199,0,15370868,15424738,15354211,13497796,15329367,17037679
15379214,13604310,15556818,23530841,15349707,22814657,15447550,15272494,13505871,13562153,23208226,14919414,12932453,15661258,14088593,15404160,15498648,0,15441239,15472120,15406993,13914803,15424526,17025268
15360178,13632677,15655481,23558037,15389087,22747663,15558827,15327667,13510754,13681481,23086094,14947052,13357128,15667852,14148458,15397893,15584777,0,15522385,15456638,15436401,14506503,15552279,17049131
15467760,13692909,15678620,23587134,15493547,22805675,15601369,15351937,13531984,13793328,23201079,15002114,13503990,15694310,14191513,15416168,15666010,0,15555754,15622751,15454655,14527143,15589907,17162767
15542819,13848748,15714861,23636689,15485337,22941495,15699560,15476626,13591615,13837173,23165517,15018324,13471745,15725394,14284987,15465686,15708623,0,15583296,15655163,15582428,14759626,15714506,17292183
15502785,13833368,15762108,23609065,15574230,22906475,15886923,15635438,13601572,13985596,23181382,15449530,13692004,15795829,14330327,15484082,15695276,0,15798932,15678314,15658738,15041636,15672436,17425678
15580912,14053567,15791532,23681844,15830005,22626843,15967563,15803351,13632373,13972140,23306961,15478318,13968058,16076711,14358750,15653229,15831396,0,15783405,15773550,15700503,15514380,15917823,17544366
15619439,14137554,15972755,23732548,16800146,22968073,16282009,15945774,13666319,14224854,23359075,15507290,14075709,16325530,14734102,15725818,15872146,0,16158072,15929771,15856715,15640951,15898024,18179487
15713842,14492009,15959787,23733240,17252565,22902376,16472838,16534692,13736331,14385379,23310964,15287763,14120376,16723095,14910229,15759322,15998924,0,16491841,16235143,16435012,15980571,15960972,18369995
41669089,32491470,40833472,54557344,40974847,55253052,41476488,39915383,34954169,35227822,56159408,39263184,32592845,41507730,36119792,41146789,41659452,0,41526748,41074123,40008027,35808127,41481896,41491559
41816271,33659966,41443090,56809624,41320758,55329595,42215322,41418332,35588502,35720578,56198856,40029862,33389747,42220326,36190558,41242429,41753357,0,42374906,42214138,41403537,35946461,42044352,41786623
41946931,33724390,42127318,56889586,41450826,55337367,42325428,41677636,36542938,36696777,56279508,40165190,33876722,42311388,36941530,41318663,41853346,0,42376119,42220297,41472491,36904107,42288417,42771937
42174593,33854933,42324368,56945656,41595383,55399153,42372904,42243250,36835534,36708763,56207956,40350551,34271468,42550243,37221763,41469009,42158054,0,42599327,42290553,41943502,36936543,42399068,42798554
42168316,35313270,42627742,56951521,42005800,55699433,42420430,42365115,36925401,36811772,56268925,40819374,35454568,42865141,37408602,41467683,42399225,0,42597074,42485090,41919945,37777386,42534931,42981150
42277193,35358156,42656069,56981959,42067133,55721210,42504975,42365146,37277653,37348945,56349272,40772507,35591885,43045526,38233237,41653807,42448913,0,42678699,42594948,42115468,38390276,42561492,42993487
42424196,35875710,42810027,57017803,42226036,55748545,42511607,42513628,37482533,37490366,56360854,41136265,35704161,43115270,38398088,41736747,42717065,0,42734155,42724552,42387276,38544510,42552588,43208841
